source, target, annotation
171255054, phe112, "anthony giles heyes"
114008787, pwy2, "Charles Wyplosz"
137272472, pli522, "Stephen Littlechild"
171244133, pka87, "Sandeep Kapur"
120931761, pba2, "Söhnke M. Bartram"
171128656, pde16, "Rommert Dekker"
171110358, par215, "Anil Arya"
160912946, pqu66, "Agnes Reynes Quisumbing"
171827759, phy7, "Ari Hyytinen"
124078958, pfe116, "Robert C. Feenstra"
171376269, pvr1, "Nicolaas J. Vriend"
17111583X, pwa196, "Xavier Yves Wauthy"
170118142, pwe284, "Heinz Welsch"
171273931, pvo1, "Oscar Volij"
17000614X, pma787, "John W. Mayo"
13335007X, per15, "Tor Eriksson"
124562876, pme45, "Christopher M. Meissner"
121393372, pmi702, "Stefan Minner"
170007529, pha148, "Sergiu Hart"
170753204, pfe259, "Eberhard Feess"
155293745, psp34, "pablo t. spiller"
17006784X, pha257, "Bharat R. Hazari"
17016392X, pwa630, "Henry Y. Wan, Jr."
124033326, pve25, "Lise Vesterlund"
133349950, pna93, "Jun Nagayasu"
171359739, phi89, "Jeroen Hinloopen"
17050431X, pco257, "Charles Joseph Corrado"
124771726, pst43, "Jeremy Stein"
128870869, pgo580, "John Goddard"
118038397, pch250, "Bruno Chiarini"
170003531, pch204, "Wojciech Charemza"
124547990, ply9, "Richard K. Lyons"
170236226, poc1, "Eddie Oczkowski"
115634738, psc166, "friedrich georg schneider"
17016389X, pde118, "Eddie Dekel"
112830323, pdu62, "christian dustmann"
129772054, pfa323, "Frank J. Fabozzi"
121384594, ppo31, "Panu Poutvaara"
171238605, pco192, "Deborah A. Cobb-Clark"
124701655, ppa39, "Mario Padula"
120553465, pcl8, "Andrew Clark"
170730263, pha225, "Lawrence Haddad"
122251067, pab191, "Klaus Abbink"
130287938, pva152, "Dominique van de Walle"
122907094, pva16, "Bernard M.S. van Praag"
171343220, pma1240, "David James Maddison"
124562442, pbu17, "Richard C. K. Burdekin"
12412903X, pxe1, "Anastasios Xepapadeas"
131407481, ppe67, "Jeffrey Perloff"
131538896, pma246, "Maurel"
118189921, pti17, "Clement Tisdell"
171104145, pva160, "Farshid Vahid"
10979544X, plt2, "Helmut Lütkepohl"
170325539, psh488, "C. Richard Shumway"
171874838, pca344, "Tiago Vanderlei de Vasconcelos Cavalcanti"
173218237, pge136, "John Geweke"
130194042, pse128, "Alessandro Sembenelli"
123344107, psi285, "Leopold Simar"
122927729, pur18, "Heinrich W. Ursprung"
170014169, pne247, "Charles R. Nelson"
122928393, pbl94, "Stephen Brock Blomberg"
170733106, pba505, "Ray Ball"
173521495, pja237, "Bas Jacobs"
171466632, pha375, "Stephen F. Hamilton"
170137783, psh653, "James Samuel Shortle"
188074511, pfr6, "Bruno S. Frey"
124775500, pdi177, "Helmut Max Dietl"
171381041, pbr193, "Bernt Bratsberg"
131505890, pth119, "Rainer Thiele"
171915070, pti99, "Peter Tillmann"
170317420, pha287, "Kornelia Marie Luise Hagen"
11430176X, pos49, "Petter Osmundsen"
171461460, pch395, "Terence Tai Leung CHONG"
129221023, ppo86, "Andrew Postlewaite"
170536556, psc442, "Ted Schroeder"
11373039X, pca333, "Pierre Cahuc"
171299841, pva230, "Daan van Soest"
171402723, pga149, "Craig A. Gallet"
171676475, pde726, "David Dequech"
160049105, pwe142, "Joachim Weimann"
129474118, pdo313, "Stephen Geoffrey Donald"
120920018, pgi102, "Victor A. Ginsburgh"
112022758, pfe259, "Eberhard Feess"
171060105, pre242, "Marcelo Resende"
172121469, pha364, "John Hagedoorn"
179122835, pkr86, "Alexander Kritikos"
170771970, pan102, "Nejat Anbarci"
118157892, pji164, "Uwe Jirjahn"
128866934, pbe27, "Roland Benabou"
170947386, phi58, "Christian von Hirschhausen"
170483088, pgy9, "Kwabena Gyimah-Brempong"
171312422, pho430, "Hakan J Holm"
12975630X, pga74, "Jean Gabszewicz"
171628950, pmu463, "Suresh Mutuswami"
17008874X, pwi3, "David Wildasin"
171218221, pli253, "OLIVER BRUCE LINTON"
106773011, pfl107, "Peter Flaschel"
171575423, pon32, "Ozlem Onaran"
128383186, pka75, "Michael Kaganovich"
123364469, pma1390, "David MARTIMORT"
